statement_idx,report,page_num,sent_num,statement,confidence,score,split,few_shots_3,prediction,correct
190,AR6_WGI,93,13,"The total Antarctic ice mass losses were dominated by the West Antarctic Ice Sheet, with combined West Antarctic and Peninsula annual loss rates increasing since about 2000",very high,3,test,"[{'input': 'Mass losses from West Antarctic outlet glaciers outpaced mass gain from increased snow accumulation on the continent and dominated the ice-sheet mass losses since 1992', 'label': 'very high', 'score': 3, 'report': 'AR6_WGI'}, {'input': 'The Antarctic Ice Sheet has lost mass between 1992 and 2017 (very high confidence), with an increasing mass-loss rate over this period (medium confidence).At sustained warming levels between 1.5°C and 2°C, the ice sheets will continue to lose mass (high confidence); on time scales of multiple centuries, the Greenland and West Antarctic ice sheets will partially be lost (medium confidence); there is limited evidence that the Greenland and West Antarctic ice sheets will be lost almost completely and irreversibly over multiple millennia; at sustained warming levels between 2°C and 3°C, there is limited evidence that the Greenland and West Antarctic ice sheets will be lost almost completely and irreversibly over multiple millennia, and high confidence in increasing risk of complete loss and increasing rate of mass loss for higher warming; At sustained warming levels between 3°C and 5°C, near- complete loss of the Greenland Ice Sheet and complete loss of the West Antarctic Ice Sheet will occur irreversibly over multiple millennia (medium confidence); substantial parts or all of Wilkes Subglacial Basin in East Antarctica will be lost over multiple millennia', 'label': 'low', 'score': 0, 'report': 'AR6_WGI'}, {'input': 'These mass losses from the West Antarctic outlet glaciers were mainly induced by ice-shelf basal melt (high confidence) and locally by ice-shelf disintegration preceded by strong surface melt', 'label': 'high', 'score': 2, 'report': 'AR6_WGI'}]",high,False
197,AR6_WGI,93,34,"Since AR5, there is strengthened evidence for an increase in the rate of GMSL rise since the mid-20th century, with an average rate of 2.3 [1.6–3.1] mm yr–1 over the period 1971–2018 increasing to 3.7 [3.2–4.2] mm yr–1 for the period 2006–2018",high,2,test,"[{'input': 'GMSL rise has accelerated since the late 1960s, with an average rate of 2.3 [1.6 to 3.1] mm yr –1 over the period 1971–2018 increasing to 3.7 [3.2 to 4.2] mm yr –1 over the period 2006–2018', 'label': 'high', 'score': 2, 'report': 'AR6_WGI'}, {'input': 'Based on these updated data and methods, the GMSL change over the (pre-satellite) period 1901–1990 is assessed to be 0.12 [0.07 to 0.17, very likely range] m with an average rate of 1.35 [0.78 to 1.92, very likely range] mm yr –1', 'label': 'high', 'score': 2, 'report': 'AR6_WGI'}, {'input': 'Human activities were very likely the main driver of observed GMSL rise since 1971, and new observational evidence leads to an assessed sea level rise over the period 1901 to 2018 that is consistent with the sum of individual components contributing to sea level rise, including expansion due to ocean warming and melting of glaciers and ice sheets', 'label': 'high', 'score': 2, 'report': 'AR6_WGI'}]",high,True
233,AR6_WGI,101,6,Water cycle variability and related extremes are projected to increase faster than mean changes in most regions of the world and under all emissions scenarios,high,2,test,"[{'input': 'Water cycle variability and extremes are projected to increase faster than average changes in most regions of the world and under all emission scenarios', 'label': 'high', 'score': 2, 'report': 'AR6_WGII'}, {'input': 'Water cycle changes that have already emerged from natural variability will become more pronounced in the near term, but the occurrence of volcanic eruptions (either single large events or clustered smaller ones) can alter the water cycle for several years, decreasing global mean land precipitation and altering monsoon circulation', 'label': 'high', 'score': 2, 'report': 'AR6_WGI'}, {'input': 'Inter-model differences and internal variability contribute to a substantial range in projections of large-scale and regional water cycle changes', 'label': 'high', 'score': 2, 'report': 'AR6_WGI'}]",high,True
237,AR6_WGI,101,11,"Global land precipitation has likely increased since 1950, with a faster increase since the 1980s",medium,1,test,"[{'input': 'In this Report, Chapter 4 provides an updated assessment of global annual precipitation (Section 4.3.1), finding that it is very likely that annual precipitation averaged over all land regions continuously increases as global surface temperatures increase in the 21st century', 'label': 'high', 'score': 2, 'report': 'AR6_WGI'}, {'input': 'In summary, while greenhouse gas increases acted to enhance the global land monsoon precipitation over the 20th century (medium confidence), consistent with projected future enhancement (Section 4.5.1.5), this tendency was overwhelmed by anthropogenic aerosols from the 1950s to the 1980s, which contributed to weakening of global land summer monsoon precipitation intensity for this period', 'label': 'medium', 'score': 1, 'report': 'AR6_WGI'}, {'input': 'Based on these results, we conclude that global land precipitation is larger during the period 2081–2100 than during the period 1995–2014, under all scenarios considered here', 'label': 'high', 'score': 2, 'report': 'AR6_WGI'}]",medium,True
282,AR6_WGI,116,13,The largest co-benefits are obtained with methods that seek to restore natural ecosystems or improve soil carbon sequestration,medium,1,test,"[{'input': 'Highest co-benefits are obtained with methods that seek to restore natural ecosystems and improve soil carbon sequestration (Figure 5.36) while highest trade- off possibilities (symmetry with the highest co-benefits) occur for reforestation or afforestation with monocultures and BECCS, again with strong dependence on scale and context', 'label': 'medium', 'score': 1, 'report': 'AR6_WGI'}, {'input': 'A wide range of co-benefits are obtained with methods that seek to restore natural ecosystems or improve soil carbon', 'label': 'high', 'score': 2, 'report': 'AR6_WGI'}, {'input': 'Reforestation, improved forest management, soil carbon sequestration, peatland restoration and blue carbon management are examples of methods that can enhance biodiversity and ecosystem functions, employment and local livelihoods, depending on context', 'label': 'high', 'score': 2, 'report': 'AR6_WGIII'}]",medium,True
322,AR6_WGI,122,19,"For global warming up to 2°C above 1850–1900 levels, paleoclimate records do not indicate abrupt changes in the carbon cycle",low,0,test,"[{'input': 'Paleoclimate reconstructions and simulations suggest a weaker SAmerM during warmer epochs such as the Mid-Holocene or the 900–1100 period, and stronger monsoon during colder epochs such as the LGM or the 1400–1600 period', 'label': 'high', 'score': 2, 'report': 'AR6_WGI'}, {'input': 'Atlas.7.1.5 Summary Significant warming trends between 0.2°C and 0.3°C per decade have been observed in the three reference regions of Central America in the last 30 years, with the largest increases in the North American Monsoon region', 'label': 'high', 'score': 2, 'report': 'AR6_WGI'}, {'input': 'The paleoclimate record provides context for these future expected changes: climate change will shift soil moisture outside the range of observed and reconstructed values spanning the last millennium', 'label': 'high', 'score': 2, 'report': 'AR6_WGI'}]",medium,False
361,AR6_WGI,134,16,"At global and regional scales, near-term monsoon changes will be dominated by the effects of internal variability",medium,1,test,"[{'input': 'At global and regional scales, near-term changes in monsoons will be dominated by the effects of internal variability', 'label': 'medium', 'score': 1, 'report': 'AR6_WGI'}, {'input': 'In summary, we assess that near-term changes in global monsoon precipitation and circulation will be affected by the combined effects of model uncertainty and internal variability, such as AMV and PDV, which together are larger than the forced signal', 'label': 'medium', 'score': 1, 'report': 'AR6_WGI'}, {'input': 'In the near term, global monsoon changes are likely to be dominated by the effects of internal variability and model uncertainties', 'label': 'medium', 'score': 1, 'report': 'AR6_WGI'}]",medium,True
371,AR6_WGI,136,16,It is very likely that mean temperatures have increased in all land regions and will continue to increase at rates greater than the global average,high,2,test,"[{'input': 'Phenomenon and Direction of TrendProjected Changes at +1.5ºC Global WarmingProjected Changes at +2°C Global WarmingProjected Changes at +4°C Global Warming Warmer and/or more frequent hot days and nights over most land areas Warmer and/or fewer cold days and nights over most land areas Warm spells/heatwaves; increases in frequency or intensity over most land areas Cold spells/cold waves: decreases in frequency or intensity over most land areasVirtually certain on global scale Extremely likely on all continents Highest increase of temperature of hottest days is projected in some mid-latitude and semi-arid regions, and the South American Monsoon region, at about 1.5 times to twice the rate of global warming (high confidence) {11.3, Figure 11.3} Highest increase of temperature of coldest days is projected in Arctic regions, at about three times the rate of global warming (high confidence) {11.3} Continental-scale projections: Extremely likely : Africa, Asia, Australasia, Central and South America, Europe, North America {11.3, 11.9}Virtually certain on global scale Virtually certain on all continents Highest increase of temperature of hottest days is projected in some mid-latitude and semi-arid regions, and the South American Monsoon region, at about 1.5 times to twice the rate of global warming (high confidence) {11.3, Figure 11.3} Highest increase of temperature of coldest days is projected in Arctic regions, at about three times the rate of global warming (high confidence) {11.3} Continental-scale projections: Virtually certain: Africa, Asia, Australasia, Central and South America, Europe, North America {11.3, 11.9}Virtually certain on global scale Virtually certain on all continents Highest increase of temperature of hottest days is projected in some mid-latitude and semi-arid regions, and the South American Monsoon region, at about 1.5 times to twice the rate of global warming (high confidence) {11.3, Figure 11.3} Highest increase of temperature of coldest days is projected in Arctic regions, at about three times the rate of global warming (high confidence) {11.3} Continental-scale projections: Virtually certain: Africa, Asia, Australasia, Central and South America, Europe, North America {11.3, 11.9} Heavy precipitation events: increase in the frequency, intensity, and/or amount of heavy precipitation High confidence that increases take place in most land regions {11.4} Very likely: Asia, North America Likely: Africa, Europe High confidence: Central and South America Medium confidence: Australasia {11.4, 11.9}Likely that increases take place in most land regions {11.4} Extremely likely: Asia, North America Very likely: Africa, Europe Likely: Australasia, Central and South America {11.4, 11.9}Very likely that increases take place in most land regions {11.4} Virtually certain: Africa, Asia, North America Extremely likely: Central and South America, Europe Very likely Australasia {11.4, 11.9} Agricultural and ecological droughts: increases in intensity and/or duration of drought events More regions affected by increases in agricultural and ecological droughts compared to observed changes', 'label': 'high', 'score': 2, 'report': 'AR6_WGI'}, {'input': 'Further warming over South West Asia is projected in the 21st century to be greater than the global average, with rates varying from 0.25°C to 0.8°C per decade depending on the season and scenario, and the maximum rates found in the northern part of the region in summer', 'label': 'high', 'score': 2, 'report': 'AR6_WGI'}, {'input': 'Warmer temperatures reduce heating degree days and increase cooling degree days (high confidence) (Bartos et al., 2016; US EPA, 2016; Craig et al., 2018; X. Zhang et al., 2019; Coppola et al., 2021b) Extreme heat: Section 11.9 assessed that extreme temperatures in North America have increased in recent decades (medium evidence , medium agreement) other than in Central and Eastern North America (low confidence), and extreme heat in all regions is projected to increase with climate change', 'label': 'high', 'score': 2, 'report': 'AR6_WGI'}]",very high,False
415,AR6_WGI,154,9,"Future projections indicate continuing decline in seasonal snow duration, glacial mass, and permafrost area by mid-century",high,2,test,"[{'input': 'Declines in low-elevation snow depth and seasonal extent are projected for all SSP-RCPs (see Sections 12.4.1–12.4.6), along with reductions in mountain glacier surface area, increases in permafrost temperature, decreases in permafrost thickness, changes in lake and river ice, changes in the amount and seasonality of streamflows and hydrologic droughts in snow-dominated and glacier-fed river basins (e.g., in Central Asia; Sorg et al., 2014; Reyer et al., 2017b)', 'label': 'medium', 'score': 1, 'report': 'AR6_WGI'}, {'input': 'Observations and projections agree that snow and ice CIDs over North America are characterized by reduction in glaciers and the seasonality of snow and ice formation, loss of shallow permafrost, and shifts in the rain/snow transition line that alters the seasonal and geographic range of snow and ice conditions in the coming decades', 'label': 'very high', 'score': 3, 'report': 'AR6_WGI'}, {'input': 'Projections suggest a substantial reduction in European ice glacier volumes and in snow cover below elevations of 1500–2000 m, as well as further permafrost thawing and degradation, during the 21st century, even at a low GWL', 'label': 'high', 'score': 2, 'report': 'AR6_WGII'}]",high,True
419,AR6_WGI,154,17,"Extreme hydrological drought frequency has increased in a region extending from south-west to north-east China, with projected increases of agricultural and ecological drought for 4°C GWL and fire weather for 2°C and above",medium,1,test,"[{'input': 'Hydrological drought: Section 11.9 indicates that limited evidence and inconsistent regional trends gives low confidence to observed and projected changes in hydrological drought in all Asian regions at a 2°C GWL (approximately mid-century), although West Central Asia hydrological droughts increase at the 4°C GWL (approximately end- of-century under higher emissions scenarios)', 'label': 'medium', 'score': 1, 'report': 'AR6_WGI'}, {'input': 'Studies examining a 2°C GWL give low confidence for projected broad changes to agricultural and ecological drought across all Asia regions, although at 4°C GWL agricultural and ecological drought increases are projected for West Central Asia and East Asia along with a decrease in South Asia', 'label': 'medium', 'score': 1, 'report': 'AR6_WGI'}, {'input': 'Regional- scale attribution shows that human-induced climate change has contributed to increased agricultural and ecological droughts (MED, WNA), and increased hydrological drought (MED) in some regions', 'label': 'medium', 'score': 1, 'report': 'AR6_WGI'}]",medium,True
467,AR6_WGI,160,4,Improvements in urban climate modelling and climate monitoring networks have contributed to understanding the mutual interaction between regional and urban climate,high,2,test,"[{'input': 'Globally, exposure to climate-driven impacts such as heatwaves, extreme precipitation and storms in combination with rapid urbanisation and lack of climate-sensitive planning, along with continuing threats from urban heat islands, is increasing the vulnerability of marginalised urban populations and key infrastructure to climate change, for example, more frequent and/ or extreme rainfall and drought stress existing design and capacity of current urban water systems and heighten urban and peri-urban water insecurity', 'label': 'high', 'score': 2, 'report': 'AR6_WGII'}, {'input': 'Box 6.1 | Planetary Urbanisation and Climate Risk The scale, reach and complexity of contemporary urbanisation compounds climate risks and conditions adaptation', 'label': 'high', 'score': 2, 'report': 'AR6_WGII'}, {'input': 'Climate change can have direct impacts on the functioning of urban systems, while the nature of those systems plays a substantial role in modifying the effects of climate change', 'label': 'high', 'score': 2, 'report': 'AR6_WGII'}]",high,True
497,AR6_WGI,203,15,"Over the period 1982–2016, marine heatwaves have very likely doubled in frequency and are increasing in intensity",very high,3,test,"[{'input': 'Marine heatwaves have increased in frequency over the 20th century, with an approximate doubling since the 1980s (high confidence), and their intensity and duration have also increased', 'label': 'medium', 'score': 1, 'report': 'AR6_WGII'}, {'input': 'Marine Heat Waves Consensus is emerging that anthropogenic climate change has significantly increased the likelihood of recent marine heat waves (MHWs)', 'label': 'medium', 'score': 1, 'report': 'AR6_WGII'}, {'input': 'Marine heatwave: Marine heatwaves (MHWs) have increased in frequency over the 20th century, with an approximate doubling since the 1980s (high confidence), and their intensity and duration have also increased', 'label': 'medium', 'score': 1, 'report': 'AR6_WGI'}]",high,False
548,AR6_WGI,306,10,Changes in ERF since the late 19th century are dominated by increases in concentrations of greenhouse gases and trends in aerosols; the net ERF is positive and changing at an increasing rate since the 1970s,medium,1,test,"[{'input': 'However, based on a general reduction in global mean AOD over this period (Section 2.2.6 and Figure 2.9), combined with a reduction in emissions of aerosols and their precursors in updated emissions inventories (Hoesly et al., 2018), the aerosol ERF is assessed to have decreased in magnitude from about 2014 to 2019', 'label': 'medium', 'score': 1, 'report': 'AR6_WGI'}, {'input': 'Changes in sulphur dioxide (SO 2) emissions make the dominant contribution to the ERF from aerosol– cloud interactions', 'label': 'high', 'score': 2, 'report': 'AR6_WGI'}, {'input': 'The 0.59 W m–2 increase in ERF from greenhouse gases is partly offset by a better-constrained assessment of total aerosol ERF that is more strongly negative than in AR5, based on multiple lines of evidence', 'label': 'high', 'score': 2, 'report': 'AR6_WGI'}]",very high,False
556,AR6_WGI,306,31,The best-estimate ERF from the increase in global albedo is –0.15 W m–2 since 1700 and –0.12 W m–2 since 1850,medium,1,test,"[{'input': 'The best-estimate ERF from the increase in global albedo is –0.15 W m–2 since 1700 and –0.12 W m–2 since 1850', 'label': 'medium', 'score': 1, 'report': 'AR6_WGI'}, {'input': 'Improved quantifications of ERF, the climate system radiative response, and the observed energy increase in the Earth system for the period 1971–2018 demonstrate improved closure of the global energy budget (i.e., the extent to which the sum of the integrated forcing and the integrated radiative response equals the energy gain of the Earth system) compared to AR5', 'label': 'high', 'score': 2, 'report': 'AR6_WGI'}, {'input': 'The best estimate solar ERF is assessed to be 0.01 W m–2, using the 14C reconstruction from SATIRE-M, with a likely range of –0.06 to +0.08 W m–2', 'label': 'medium', 'score': 1, 'report': 'AR6_WGI'}]",idk,False
572,AR6_WGI,307,32,"The average rate of sea level rise was 1.3 [0.6 to 2.1] mm yr –1 between 1901 and 1971, increasing to 1.9 [0.8 to 2.9] mm yr –1 between 1971 and 2006, and further increasing to 3.7 [3.2 to 4.2] mm yr –1 between 2006 and 2018",high,2,test,"[{'input': 'The average rate of sea level rise was 1.3 [0.6 to 2.1] mm yr–1 between 1901 and 1971, increasing to 1.9 [0.8 to 2.9] mm yr–1 between 1971 and 2006, and further increasing to 3.7 [3.2 to 4.2] mm yr–1 between 2006 and 2018', 'label': 'high', 'score': 2, 'report': 'AR6_WGI'}, {'input': 'The average rate of sea level rise was 1.3 [0.6 to 2.1] mm yr–1 between 1901 and 1971, increasing to 1.9 [0.8 to 2.9] mm yr–1 between 1971 and 2006, and further increasing to 3.7 [3.2 to 4.2] mm yr–1 between 2006 and 2018', 'label': 'high', 'score': 2, 'report': 'AR6_WGI'}, {'input': 'The total 20th century rise is estimated to be 0.17 [0.12 to 0.22] m. The rate of sea level rise since the mid-19th century has been larger than the mean rate during the previous two millennia', 'label': 'high', 'score': 2, 'report': 'AR6_WGI'}]",very high,False
583,AR6_WGI,308,9,"Over the last century, there have been increases in species turnover within many ecosystems",high,2,test,"[{'input': 'The 15% of species that did both (shifting northward by 113.1 km and advancing their flight period by 2.7 days per decade, on average, over a 20-year period) had the largest population increases, and the 40% of species that showed no response had the largest population declines.2.4.2.6 Observed Changes to Physiology and Morphology Driven by Climate Change Impacts on species physiology in terrestrial and freshwater systems have been observed, and attributed to climate change', 'label': 'medium', 'score': 1, 'report': 'AR6_WGII'}, {'input': 'Abrupt ecosystem shifts have been observed in both large open-ocean ecosystems and coastal ecosystems (Section 3.4.2), with dramatic social consequences through significant loss of diverse ecosystem services', 'label': 'high', 'score': 2, 'report': 'AR6_WGII'}, {'input': 'Recent MHWs (Section 3.2.2.1) have caused major ecosystem shifts and mass mortality in oceanic and coastal ecosystems, including corals, kelp forests and seagrass meadows (Sections 3.4.2.1, 3.4.2.3, 3.4.2.5, 3.4.2.6, 3.4.2.10; Cross-Chapter Box MOVING SPECIES in Chapter 5; Cross-Chapter Box EXTREMES in Chapter 2), with dramatic declines in species foundational for habitat formation or trophic flow, biodiversity declines, and biogeographic shifts in fish stocks', 'label': 'very high', 'score': 3, 'report': 'AR6_WGII'}]",high,True
