index,Predicted,Actual,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck,C
118,frog,bird,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.001
119,horse,horse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
120,ship,ship,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
121,cat,cat,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003
122,automobile,automobile,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,bird,bird,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,ship,ship,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
125,airplane,airplane,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002
126,ship,ship,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
127,cat,cat,0.0,0.0,0.0,0.99,0.01,0.0,0.0,0.0,0.0,0.0,0.01
128,frog,dog,0.0,0.0,0.0,0.01,0.0,0.3,0.65,0.0,0.0,0.04,0.192
129,bird,bird,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,deer,deer,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
131,automobile,automobile,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132,ship,ship,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
133,truck,truck,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
134,automobile,automobile,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135,bird,bird,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,truck,truck,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
137,horse,horse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
138,bird,bird,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139,truck,truck,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.001
140,frog,frog,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
141,dog,dog,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.003
142,frog,frog,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
143,deer,cat,0.0,0.0,0.0,0.04,0.96,0.01,0.0,0.0,0.0,0.0,0.034
144,ship,ship,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
145,horse,horse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
146,frog,frog,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
147,frog,bird,0.0,0.0,0.0,0.0,0.01,0.27,0.72,0.0,0.0,0.0,0.19
148,dog,dog,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
149,bird,bird,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,ship,ship,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
151,truck,truck,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94,0.029
152,frog,frog,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
153,airplane,airplane,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154,airplane,airplane,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002
155,dog,dog,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.001
156,bird,bird,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,truck,truck,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
158,cat,dog,0.0,0.0,0.0,0.95,0.0,0.05,0.0,0.0,0.0,0.0,0.048
159,deer,deer,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
160,bird,bird,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003
161,automobile,automobile,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162,frog,frog,0.0,0.0,0.0,0.01,0.0,0.0,0.99,0.0,0.0,0.0,0.008
163,frog,frog,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
164,automobile,ship,0.2,0.65,0.02,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.132
165,deer,deer,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
166,ship,ship,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
167,deer,deer,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
168,dog,dog,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
169,ship,airplane,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.008
170,truck,truck,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
171,truck,truck,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.047
172,truck,truck,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
173,ship,ship,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
174,truck,truck,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
175,truck,truck,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
176,cat,cat,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
177,horse,horse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
178,cat,dog,0.0,0.0,0.38,0.55,0.0,0.06,0.0,0.0,0.0,0.0,0.212
179,airplane,airplane,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180,airplane,airplane,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
181,dog,dog,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
182,bird,bird,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
183,frog,bird,0.0,0.0,0.43,0.0,0.0,0.0,0.57,0.0,0.0,0.0,0.245
184,cat,cat,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001
185,ship,ship,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
186,frog,frog,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
187,cat,cat,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
188,deer,deer,0.0,0.0,0.01,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0.006
189,airplane,airplane,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
190,dog,dog,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
191,ship,ship,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.002
192,airplane,airplane,0.69,0.0,0.01,0.0,0.0,0.0,0.0,0.3,0.01,0.0,0.206
193,automobile,automobile,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
194,horse,horse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
195,bird,bird,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
196,ship,ship,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
197,ship,ship,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.001
198,horse,horse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
199,ship,ship,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
200,dog,dog,0.0,0.0,0.0,0.01,0.0,0.99,0.0,0.0,0.0,0.0,0.014
201,automobile,automobile,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202,ship,ship,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
203,horse,horse,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.98,0.0,0.0,0.017
204,automobile,automobile,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
205,cat,cat,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
206,airplane,airplane,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
207,dog,dog,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
208,horse,horse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
209,truck,truck,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
210,horse,horse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
211,deer,deer,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.2,0.0,0.162
212,dog,dog,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
213,ship,truck,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
214,ship,ship,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.001
215,airplane,airplane,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216,horse,horse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
217,truck,truck,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
218,ship,ship,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
219,bird,bird,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220,horse,horse,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.99,0.0,0.0,0.006
221,frog,frog,0.0,0.0,0.0,0.0,0.0,0.07,0.93,0.0,0.0,0.0,0.068
222,truck,truck,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
223,deer,deer,0.0,0.0,0.0,0.07,0.93,0.0,0.0,0.0,0.0,0.0,0.063
224,dog,cat,0.0,0.0,0.0,0.39,0.17,0.43,0.0,0.0,0.0,0.0,0.171
225,truck,truck,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
226,airplane,frog,0.39,0.01,0.1,0.04,0.01,0.03,0.34,0.01,0.07,0.0,0.133
227,deer,deer,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
228,horse,horse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
229,frog,frog,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.001
230,dog,dog,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
231,automobile,automobile,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
232,dog,dog,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.001
233,ship,ship,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
234,ship,ship,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
235,airplane,airplane,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
236,deer,deer,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
237,airplane,airplane,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.008
238,dog,dog,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
239,dog,dog,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
240,automobile,automobile,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
241,automobile,automobile,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
242,ship,ship,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.01
243,truck,truck,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
244,airplane,airplane,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
245,cat,cat,0.0,0.0,0.02,0.97,0.0,0.0,0.01,0.0,0.0,0.0,0.017
246,automobile,automobile,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
247,truck,truck,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
248,bird,bird,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
249,bird,bird,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001
250,dog,dog,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
251,cat,cat,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
252,truck,truck,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
253,truck,truck,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
254,deer,deer,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.002
255,airplane,airplane,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
256,cat,cat,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
257,airplane,airplane,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
258,airplane,airplane,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005
259,truck,truck,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
260,ship,ship,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
261,automobile,automobile,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
262,dog,dog,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
263,horse,horse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
264,ship,airplane,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.01,0.007
